,gaze_0_x,gaze_0_y,gaze_0_z,gaze_angle_x,gaze_angle_y,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.66,0.0,0.08,0.0,0.0,0.05,0.0,0.15
24,-0.385952,0.127575,-0.913655,-0.488,0.126,0.62,0.0,1.31,0.0,0.14,0.0,0.0,0.23,0.0,0.46
25,-0.386433,0.126568,-0.913592,-0.492,0.119,0.64,0.0,1.8,0.0,0.14,0.0,0.0,0.34,0.0,0.83
26,-0.38976,0.117142,-0.913436,-0.492,0.11,0.31,0.0,1.54,0.0,0.06,0.0,0.0,0.42,0.0,1.07
27,-0.39473,0.11692,-0.911328,-0.495,0.111,0.16,0.0,1.27,0.0,0.0,0.0,0.01,0.44,0.0,1.08
28,-0.398449,0.124453,-0.908708,-0.499,0.121,0.14,0.0,1.15,0.0,0.05,0.0,0.01,0.59,0.0,0.9
29,-0.399123,0.143024,-0.905674,-0.499,0.142,0.08,0.0,0.96,0.0,0.18,0.0,0.01,0.58,0.0,0.65
30,-0.394414,0.163546,-0.904262,-0.501,0.164,0.0,0.0,0.83,0.0,0.3,0.0,0.0,0.42,0.0,0.53
31,-0.399951,0.161415,-0.902211,-0.507,0.164,0.0,0.0,0.71,0.03,0.38,0.0,0.03,0.24,0.0,0.57
32,-0.400568,0.157353,-0.902655,-0.508,0.159,0.04,0.0,0.75,0.03,0.33,0.0,0.03,0.2,0.0,0.79
33,-0.398429,0.147433,-0.905272,-0.505,0.149,0.04,0.0,0.87,0.03,0.21,0.0,0.03,0.17,0.0,0.94
34,-0.403285,0.136786,-0.904793,-0.509,0.139,0.21,0.0,0.9,0.0,0.11,0.0,0.0,0.24,0.0,0.82
35,-0.403936,0.133204,-0.905037,-0.509,0.134,0.43,0.0,1.03,0.0,0.05,0.0,0.0,0.23,0.0,0.54
36,-0.404416,0.133575,-0.904768,-0.509,0.135,0.65,0.0,0.97,0.0,0.05,0.0,0.0,0.29,0.0,0.2
37,-0.402292,0.13167,-0.905994,-0.506,0.133,0.68,0.0,1.07,0.0,0.02,0.0,0.0,0.17,0.0,0.08
38,-0.401691,0.136754,-0.905507,-0.505,0.138,0.65,0.0,1.01,0.06,0.01,0.0,0.0,0.2,0.0,0.0
